"No.","Time","Source","Destination","Protocol","Length","Info"
"1693","11.453986","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1694","11.458319","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1695","11.462653","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1696","11.466977","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1697","11.471308","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1698","11.475653","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1699","11.479987","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1700","11.484311","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1701","11.488665","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1702","11.492987","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1703","11.497310","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1704","11.501653","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1705","11.505987","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1706","11.510321","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1707","11.514655","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1708","11.518978","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1709","11.523312","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1710","11.527655","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1711","11.531988","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1712","11.536342","fe80::c30c:0:0:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"1713","11.671784","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"1714","11.675097","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"1715","11.678424","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"1716","11.681751","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"1717","11.685077","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"1718","11.688404","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"1719","11.691729","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"1720","11.695055","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"1721","11.698383","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"1722","11.701709","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"1723","11.705034","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"1724","11.708361","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"1725","11.711689","fe80::c30c:0:0:6","fe80::c30c:0:0:9","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"1726","11.714530","","","IEEE 802.15.4","5","Ack"
